date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

||||||||
2012-12-12 | 189
2015-02-28 | 10 alkfdajewv
2015-02-28 | alkfdajewv
nvnvjgvjgfjv 2012-06-25 | 3
2015-02-28 | 0
2015-02-28 | 00000
2015-02-28 | 

2022-03-29 | 2
2022-03-30 | 2 a;wlfkjaw;
2022-04-30 | 2
2023-03-30 | 2
2040-03-30 | 2
2016*03*30 | 2
2011-04-14 | 1
2011-04-17 | 1
2011-04-16 | 1
2011-04-16| 2
2011-04-16 |5
2009-01-02 | 10
2009-01-01 | 10
